Namee;Def
access;"The reading or writing of data; as a verb, to gain entry to data. Most commonly used in connection with information access, via a user ID, and qualified by an indication as to the kinds of access that are permitted. For example, read-only access means that the contents of the file may be read but not altered or erased."
Access Control List;(ACL) A list of the services available on a server, each with a list of the hosts permitted to use the service.
access time;The time interval between the instant that data is requested and the instant that it is received.
account;Your subscription to a networked computer system.
account name;"Same as your login ID or user ID. The word you type at the ""Login:"" prompt; your electronic name."
address;A character or group of characters that identify a register, a location or some other data source or destination.
aggregate;"n. A total created from smaller units. For instance, the population of a county is an aggregate of the populations of the cities, rural areas, etc. that comprise the county. v. To total data from smaller units into a large unit. Example: ""The Census Bureau aggregates data to preserve the confidentiality of individuals."""
aggregate data;Data that have been aggregated.
algorithm;A set of rules for solving a problem in a given number of steps.
alias;See nickname.
analog;A method of storing information, used by most audiotapes, videotapes and laserdiscs (and all LP phonograph records, remember those?). An analog device uses a physical quantity, such as length or voltage, to represent the value of a number. By contrast, digital storage relies on a coding system of numeric units.
Application Layer;Layer seven of the OSI reference model. It serves as a means by which applications access communications services.
application;The use to which a data processing system is put within a given discipline, such as a payroll application, an airline reservation application or a network application.
application program;A program that is written for or by a user that applies to the users discipline.
application software;A group of programs designed to perform tasks that can be tailored to a users specific needs.
archive;v. To copy programs and data onto an auxiliary storage medium (disk, tape,etc.) for long-term retention, such as when disk space has become full. n. A file with a structure that allows storage of multiple files within it in such a way that the names of the files can be listed and files can be individually added and deleted. The terminology is typically associated with microcomputers. On a mainframe, such a file is typically called a library.
argument;A value supplied to a procedure, macro, subroutine, or command that is required in order to evaluate that procedure, macro, subroutine, or command. Synonymous with parameter.
ASCII;American Standard Code for Information Interchange (pronounced ask-ee). The form in which text characters are handled in most computer systems and networks. ASCII text has no special characters for formatting such as underlined or bold characters, font changes, etc., thus can be viewed on any personal computer or terminal.
assembler;A program that converts symbolically-coded programs into object level, machine code. In an assembler program, unlike a compiler, there is a one-to-one correspondence between human-readable instructions and the machine-language code.
ATM;Asynchronous Transfer Mode. A standard for cell relay that uses fixed length cells of 53 bytes, 5 bytes of which are headers. Can support multiple services including voice, video and data.
ATM Forum;An industry-wide effort that is now an international consortium of more than 400 companies who define ATM interoperability specifications and promote industry-wide cooperation to help proliferate ATM and thus drive implementation costs down.
audit;A personal or computerized review process that accounts for the adequacy, effectiveness, security and overall functionality of a data activity.
authentication;Process of establishing who you are.
authorization;Permission to access non-public information or use equipment that is either fully or partially restricted. Process of establishing what you can do.
autonomous system;A collection of one or more networks that are administrated by the same entity. Each regional network (such as SURAnet) is an autonomous system.
backbone;Refers to a piece of cable used to connect different floors or departments together into a network. Also generalized to a network that connects networks together.
background processing;Users may use a terminal for one project and concurrently submit a job that is placed in a background queue that the computer will run as resources become available. Also refers to any processing in which a job runs without being connected to a terminal.
backspace;A keyboard operation that moves the cursor one place to the left. A destructive backspace erases characters as it goes, thus allowing users to modify what has been typed (distinguished from the left- arrow key).
backup;n. A resource that is or can be used as a substitute when a primary resource fails or when a file has been corrupted. v. To save as in to make a copy in case of future failure or corruption.
